variable_name,symbol,physical_meaning,units,supporting_source_ids,reconciliation_notes
reactor_power,P(t) or n(t),"Normalized reactor power / neutron flux, the primary kinetics state variable",dimensionless (fraction of nominal) or W,B1;B2;B3,"Core output of the point-kinetics solver; primary channel reported in the synthetic telemetry"
total_reactivity,rho(t),"Net reactivity, sum of external (control-rod) and feedback (void + Doppler + xenon) contributions",dollars or dk/k,B1;B2;B3,"Decomposed into rho_rod + rho_void + rho_doppler + rho_xenon for interpretability ground-truth tagging"
delayed_neutron_fraction_total,beta,"Total fraction of fission neutrons that are delayed",dimensionless,B2;B3,"PLACEHOLDER - Keepin 1965 thermal U-235 value vs RBMK burnup-adjusted value. Reconciliation REQUIRED before freeze - see DESIGN_NOTE.md Section 4"
delayed_neutron_fraction_group_i,beta_i (i=1..6),"Fraction of beta attributable to precursor group i (six-group formalism)",dimensionless,B2;B3,"Six values, one per group. Source table TBD - must come from same source as decay constants (B2 or B3, not mixed)"
precursor_decay_constant_group_i,lambda_i (i=1..6),"Decay constant for delayed-neutron precursor group i",1/s,B2;B3,"Must be taken from the same table as beta_i (paired values, not mixed across sources)"
precursor_concentration_group_i,C_i(t) (i=1..6),"Concentration of delayed-neutron precursor group i",same normalization as P(t),B2;B3,"Six internal state variables; not necessarily exposed as a telemetry channel but available if needed for richer anomaly types"
prompt_neutron_generation_time,Lambda (or l*),"Mean neutron generation time (prompt neutron lifetime / k_eff)",s,B2;B3,"Standard point-kinetics parameter; value depends on moderator (graphite vs water) - confirm graphite-moderated value from B3 rather than a water-moderated default"
control_rod_reactivity,rho_rod(t),"External reactivity input from control rod / regulating system position",dollars or dk/k,B1;B2,"Driven by the scenario script (normal operation profile + anomaly injection), not a free state variable. AZ-5/positive-scram transient explicitly NOT included - see Validation Registry V04"
iodine135_concentration,I(t),"Concentration of I-135, precursor to Xe-135 via beta decay",atoms/cm^3 or normalized,B4,"State variable in the Xe/I coupled ODE pair from B4"
xenon135_concentration,Xe(t),"Concentration of Xe-135, dominant thermal neutron poison",atoms/cm^3 or normalized,B4,"State variable in the Xe/I coupled ODE pair from B4; drives rho_xenon"
xenon_reactivity_feedback,rho_xenon(t),"Reactivity contribution from Xe-135 poisoning (negative feedback)",dollars or dk/k,B4;B1,"Computed from Xe(t) via a microscopic absorption cross-section term; this is the channel responsible for the 'iodine pit' behavior in V01"
iodine_yield_fraction,gamma_I,"Fission yield fraction for I-135 production",dimensionless,B4,"Standard value; confirm against B4's specific derivation rather than a generic PWR table if RBMK fuel composition matters here"
xenon_yield_fraction,gamma_Xe,"Direct fission yield fraction for Xe-135 (excluding I-135 decay contribution)",dimensionless,B4,"Standard value; same caveat as gamma_I"
xenon_microscopic_absorption_xsec,sigma_Xe,"Microscopic absorption cross-section of Xe-135 for thermal neutrons",cm^2 or barns,B4,"Used in rho_xenon computation; standard value but confirm thermal-spectrum assumption matches the point-kinetics model's spectrum assumptions"
void_fraction,phi(t),"Core-averaged coolant void fraction (fraction of coolant channel volume occupied by steam)",dimensionless (0-1),B1;B8;B9,"Driving variable for rho_void; the 'positive void coefficient' that is RBMK's defining and most safety-relevant characteristic"
void_reactivity_feedback,rho_void(t),"Reactivity contribution from changes in coolant void fraction (POSITIVE for RBMK at low ORM)",dollars or dk/k,B8;B9;B1,"Sign and magnitude are RBMK-specific and the most safety-critical parameter in the whole model. Magnitude per B8 (around 0.03, i.e. roughly 0.3 mk per pct void, higher near core axis) cross-checked against B9 (commonly cited ~4.7 beta pre-accident, ~0.7 beta post-modification). MUST be reviewed at Phase 4/Step 4 sanity check before freeze"
void_reactivity_coefficient,alpha_void,"Reactivity per unit change in void fraction (the void coefficient itself)",dollars per unit void fraction (or dk/k per pct),B8;B9,"See void_reactivity_feedback notes - this is the single most scrutinized parameter in the design note"
doppler_reactivity_feedback,rho_doppler(t),"Reactivity contribution from fuel temperature change (Doppler broadening), always negative",dollars or dk/k,B3,"B3 provides a graphite-moderated six-group model with Doppler/graphite-temperature feedback but NO void coefficient (gas-cooled reference). Used here only for the Doppler term structure, not the void term"
fuel_temperature,T_fuel(t),"Effective fuel temperature, drives rho_doppler",K or normalized,B3,"Simplified lumped/single-node representation - full 3D thermal-hydraulics explicitly out of scope (point-kinetics simplification, see LIMITATIONS.md Section 7)"
operating_reactivity_margin,ORM(t),"Operating Reactivity Margin - count of equivalent control rods inserted, RBMK-specific safety parameter",equivalent rods,B9;B1,"Used as a SCENARIO PARAMETER to set initial conditions for anomaly scenarios (e.g. low-ORM anomaly class), not as a continuously-modeled state variable in the first-pass simulator. Historical fact 'ORM was below minimum' (Anchor A-01) informs which scenario class is illustrative of the case study, but does NOT set a numeric ORM value from the digitized trace"
